Authors,Title,Year,Source title,Page start,Page end,Cited by
"Cariveau, D.P., Williams, N.M., Benjamin, F.E., Winfree, R.",Response diversity to land use occurs but does not consistently stabilise ecosystem services provided by native pollinators,2013,Ecology Letters,903,911,17
"Jochimsen, M.C., Kümmerlin, R., Straile, D.",Compensatory dynamics and the stability of phytoplankton biomass during four decades of eutrophication and oligotrophication,2013,Ecology Letters,81,89,17
"Locey, K.J., White, E.P.",How species richness and total abundance constrain the distribution of abundance,2013,Ecology Letters,1177,1185,17
"Wootton, J.T.",Markov chain models predict the consequences of experimental extinctions,2004,Ecology Letters,653,660,18
"Desharnais, R.A., Costantino, R.F., Cushing, J.M., Henson, S.M., Dennis, B., King, A.A.",Experimental support of the scaling rule for demographic stochasticity,2006,Ecology Letters,537,547,18
"Morris, W.F., Tuljapurkar, S., Haridas, C.V., Menges, E.S., Horvitz, C.C., Pfister, C.A.",Sensitivity of the population growth rate to demographic variability within and between phases of the disturbance cycle,2006,Ecology Letters,1331,1341,18
"Salathé, M., Salathé, R., Schmid-Hempel, P., Bonhoeffer, S.",Mutation accumulation in space and the maintenance of sexual reproduction,2006,Ecology Letters,941,946,18
"Genkai-Kato, M.","Macrophyte refuges, prey behaviour and trophic interactions: Consequences for lake water clarity",2007,Ecology Letters,105,114,18
"Avgar, T., Giladi, I., Nathan, R.",Linking traits of foraging animals to spatial patterns of plants: Social and solitary ants generate opposing patterns of surviving seeds,2008,Ecology Letters,224,234,18
"Byrnes, J., Stachowicz, J.J.",Short and long term consequences of increases in exotic species richness on water filtration by marine invertebrates,2009,Ecology Letters,830,841,18
"Fernández, M., Astorga, A., Navarrete, S.A., Valdovinos, C., Marquet, P.A.",Deconstructing latitudinal species richness patterns in the ocean: Does larval development hold the clue?,2009,Ecology Letters,601,611,18
"Loeuille, N.",Influence of evolution on the stability of ecological communities,2010,Ecology Letters,1536,1545,18
"Mccarthy, M.A., Thompson, C.J., Moore, A.L., Possingham, H.P.",Designing nature reserves in the face of uncertainty,2011,Ecology Letters,470,475,18
"Winder, M., Jassby, A.D., Mac Nally, R.",Synergies between climate anomalies and hydrological modifications facilitate estuarine biotic invasions,2011,Ecology Letters,749,757,18
"Mccoy, M.W., Stier, A.C., Osenberg, C.W.",Emergent effects of multiple predators on prey survival: The importance of depletion and the functional response,2012,Ecology Letters,1449,1456,18
"Pruitt, J.N.",Behavioural traits of colony founders affect the life history of their colonies,2012,Ecology Letters,1026,1032,18
"Rascher, K.G., Hellmann, C., Máguas, C., Werner, C.",Community scale 15N isoscapes: Tracing the spatial impact of an exotic N 2-fixing invader,2012,Ecology Letters,484,491,18
"Robinson, M.R., Sander van Doorn, G., Gustafsson, L., Qvarnström, A.",Environment-dependent selection on mate choice in a natural population of birds,2012,Ecology Letters,611,618,18
"Rouyer, T., Sadykov, A., Ohlberger, J., Stenseth, N.C.",Does increasing mortality change the response of fish populations to environmental fluctuations?,2012,Ecology Letters,658,665,18
"Bentley, L.P., Stegen, J.C., Savage, V.M., Smith, D.D., von Allmen, E.I., Sperry, J.S., Reich, P.B., Enquist, B.J.",An empirical assessment of tree branching networks and implications for plant allometric scaling models,2013,Ecology Letters,1069,1078,18
"Bever, J.D., Broadhurst, L.M., Thrall, P.H.",Microbial phylotype composition and diversity predicts plant productivity and plant-soil feedbacks,2013,Ecology Letters,167,174,18
"Blanquart, F., Gandon, S.",Time-shift experiments and patterns of adaptation across time and space,2013,Ecology Letters,31,38,18
"Miller, T.E., Inouye, B.D.",Sex and stochasticity affect range expansion of experimental invasions,2013,Ecology Letters,354,361,18
"Sheffer, E., von Hardenberg, J., Yizhaq, H., Shachak, M., Meron, E.",Emerged or imposed: A theory on the role of physical templates and self-organisation for vegetation patchiness,2013,Ecology Letters,127,139,18
"Caswell, H., Takada, T., Hunter, C.M.",Sensitivity analysis of equilibrium in density-dependent matrix population models,2004,Ecology Letters,380,387,19
"Guo, Q., Shaffer, T., Buhl, T.","Community maturity, species saturation and the variant diversity- productivity relationships in grasslands",2006,Ecology Letters,1284,1292,19
"Turnbull, L.A., Rees, M., Purves, D.W.",Why equalising trade-offs aren't always neutral,2008,Ecology Letters,1037,1046,19
"Chambers, J.Q., Negrón-Juárez, R.I., Hurtt, G.C., Marra, D.M., Higuchi, N.",Lack of intermediate-scale disturbance data prevents robust extrapolation of plot-level tree mortality rates for old-growth tropical forests,2009,Ecology Letters,,,19
"Onipchenko, V.G., Makarov, M.I., Van Logtestijn, R.S.P., Ivanov, V.B., Akhmetzhanova, A.A., Tekeev, D.K., Ermak, A.A., Salpagarova, F.S., Kozhevnikova, A.D., Cornelissen, J.H.C.",New nitrogen uptake strategy: Specialized snow roots,2009,Ecology Letters,758,764,19
"Cortez, M.H.",Comparing the qualitatively different effects rapidly evolving and rapidly induced defences have on predator-prey interactions,2011,Ecology Letters,202,209,19
"McNamara, J.M., Dall, S.R.X.",The evolution of unconditional strategies via the 'multiplier effect',2011,Ecology Letters,237,243,19
"Palardy, J.E., Witman, J.D.",Water flow drives biodiversity by mediating rarity in marine benthic communities,2011,Ecology Letters,63,68,19
"Raveh, A., Kotler, B.P., Abramsky, Z., Krasnov, B.R.",Driven to distraction: Detecting the hidden costs of flea parasitism through foraging behaviour in gerbils,2011,Ecology Letters,47,51,19
"Roche, B., Drake, J.M., Rohani, P.",The curse of the Pharaoh revisited: Evolutionary bi-stability in environmentally transmitted pathogens,2011,Ecology Letters,569,575,19
"Zhang, Q.-G., Buckling, A.",Antagonistic coevolution limits population persistence of a virus in a thermally deteriorating environment,2011,Ecology Letters,282,288,19
"Asner, G.P., Martin, R.E.",Contrasting leaf chemical traits in tropical lianas and trees: Implications for future forest composition,2012,Ecology Letters,1001,1007,19
"Breed, M.F., Gardner, M.G., Ottewell, K.M., Navarro, C.M., Lowe, A.J.",Shifts in reproductive assurance strategies and inbreeding costs associated with habitat fragmentation in Central American mahogany,2012,Ecology Letters,444,452,19
"Beale, C.M., Baker, N.E., Brewer, M.J., Lennon, J.J.",Protected area networks and savannah bird biodiversity in the face of climate change and land degradation,2013,Ecology Letters,1061,1068,19
"Ewers, R.M., Didham, R.K., Pearse, W.D., Lefebvre, V., Rosa, I.M.D., Carreiras, J.M.B., Lucas, R.M., Reuman, D.C.",Using landscape history to predict biodiversity patterns in fragmented landscapes,2013,Ecology Letters,1221,1233,19
"Pruitt, J.N.",A real-time eco-evolutionary dead-end strategy is mediated by the traits of lineage progenitors and interactions with colony invaders,2013,Ecology Letters,879,886,19
"Razgour, O., Juste, J., Ibáñez, C., Kiefer, A., Rebelo, H., Puechmaille, S.J., Arlettaz, R., Burke, T., Dawson, D.A., Beaumont, M., Jones, G.",The shaping of genetic variation in edge-of-range populations under past and future climate change,2013,Ecology Letters,1258,1266,19
"Sanders, D., Sutter, L., van Veen, F.J.F.",The loss of indirect interactions leads to cascading extinctions of carnivores,2013,Ecology Letters,664,669,19
"Taylor, B.N., Beidler, K.V., Cooper, E.R., Strand, A.E., Pritchard, S.G.",Sampling volume in root studies: The pitfalls of under-sampling exposed using accumulation curves,2013,Ecology Letters,862,869,19
"Williams, C.K., Ives, A.R., Applegate, R.D., Ripa, J.",The collapse of cycles in the dynamics of North American grouse populations,2004,Ecology Letters,1135,1142,20
"Elser, J.J., Watts, J., Schampel, J.H., Farmer, J.",Early Cambrian food webs on a trophic knife-edge? A hypothesis and preliminary data from a modern stromatolite-based ecosystem,2006,Ecology Letters,292,300,20
"Stark, S.C., Bunker, D.E., Carson, W.P.",A null model of exotic plant diversity tested with exotic and native species-area relationships,2006,Ecology Letters,136,141,20
"Stinchcombe, J.R., Schmitt, J.",Ecosystem engineers as selective agents: The effects of leaf litter on emergence time and early growth in Impatiens capensis,2006,Ecology Letters,255,267,20
"Howeth, J.G., Leibold, M.A.",Planktonic dispersal dampens temporal trophic cascades in pond metacommunities,2008,Ecology Letters,245,257,20
"Utsumi, S., Ando, Y., Ohgushi, T.",Evolution of feeding preference in a leaf beetle: The importance of phenotypic plasticity of a host plant,2009,Ecology Letters,920,929,20
"Wood, S.A., Lilley, S.A., Schiel, D.R., Shurin, J.B.",Organismal traits are more important than environment for species interactions in the intertidal zone,2010,Ecology Letters,1160,1171,20
"Ben-Hur, E., Fragman-Sapir, O., Hadas, R., Singer, A., Kadmon, R.",Functional trade-offs increase species diversity in experimental plant communities,2012,Ecology Letters,1276,1282,20
"Passy, S.I.",A hierarchical theory of macroecology,2012,Ecology Letters,923,934,20
"Campbell, S.A., Thaler, J.S., Kessler, A.",Plant chemistry underlies herbivore-mediated inbreeding depression in nature,2013,Ecology Letters,252,260,20
"Cornet, S., Nicot, A., Rivero, A., Gandon, S.",Malaria infection increases bird attractiveness to uninfected mosquitoes,2013,Ecology Letters,323,329,20
"Heard, M.J., Sax, D.F.",Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores,2013,Ecology Letters,206,213,20
"Thibert-Plante, X., Gavrilets, S.",Evolution of mate choice and the so-called magic traits in ecological speciation,2013,Ecology Letters,1004,1013,20
"Wilson, R.P., Griffiths, I.W., Legg, P.A., Friswell, M.I., Bidder, O.R., Halsey, L.G., Lambertucci, S.A., Shepard, E.L.C.",Turn costs change the value of animal search paths,2013,Ecology Letters,1145,1150,20
"Mondor, E.B., Tremblay, M.N., Lindroth, R.L.",Transgenerational phenotypic plasticity under future atmospheric conditions,2004,Ecology Letters,941,946,21
"Munch, S.B., Snover, M.L., Watters, G.M., Mangel, M.",A unified treatment of top-down and bottom-up control of reproduction in populations,2005,Ecology Letters,691,695,21
"Umbanhowar, J., McCann, K.",Simple rules for the coexistence and competitive dominance of plants mediated by mycorrhizal fungi,2005,Ecology Letters,247,252,21
"MacLeod, R., Lind, J., Clark, J., Cresswell, W.",Mass regulation in response to predation risk can indicate population declines,2007,Ecology Letters,945,955,21
"Szilágyi, A., Scheuring, I., Edwards, D.P., Orivel, J., Yu, D.W.",The evolution of intermediate castration virulence and ant coexistence in a spatially structured environment,2009,Ecology Letters,1306,1316,21
"Ziebarth, N.L., Abbott, K.C., Ives, A.R.",Weak population regulation in ecological time series,2010,Ecology Letters,21,31,21
"Thompson, D.J., Hassall, C., Lowe, C.D., Watts, P.C.",Field estimates of reproductive success in a model insect: Behavioural surrogates are poor predictors of fitness,2011,Ecology Letters,905,913,21
"Cramer, K.L., Jackson, J.B.C., Angioletti, C.V., Leonard-Pingel, J., Guilderson, T.P.",Anthropogenic mortality on coral reefs in Caribbean Panama predates coral disease and bleaching,2012,Ecology Letters,561,567,21
"Ewen, J.G., Bensch, S., Blackburn, T.M., Bonneaud, C., Brown, R., Cassey, P., Clarke, R.H., Pérez-Tris, J.",Establishment of exotic parasites: The origins and characteristics of an avian malaria community in an isolated island avifauna,2012,Ecology Letters,1112,1119,21
"Latta, L.C., Weider, L.J., Colbourne, J.K., Pfrender, M.E.",The evolution of salinity tolerance in Daphnia: A functional genomics approach,2012,Ecology Letters,794,802,21
"Overholt, E.P., Hall, S.R., Williamson, C.E., Meikle, C.K., Duffy, M.A., Cáceres, C.E.",Solar radiation decreases parasitism in Daphnia,2012,Ecology Letters,47,54,21
"Price, C.A., Wing, S., Weitz, J.S.",Scaling and structure of dicotyledonous leaf venation networks,2012,Ecology Letters,87,95,21
"Friman, V.-P., Buckling, A.",Effects of predation on real-time host-parasite coevolutionary dynamics,2013,Ecology Letters,39,46,21
"Froy, H., Phillips, R.A., Wood, A.G., Nussey, D.H., Lewis, S.",Age-related variation in reproductive traits in the wandering albatross: Evidence for terminal improvement following senescence,2013,Ecology Letters,642,649,21
"Middleton, A.D., Kauffman, M.J., Mcwhirter, D.E., Jimenez, M.D., Cook, R.C., Cook, J.G., Albeke, S.E., Sawyer, H., White, P.J.",Linking anti-predator behaviour to prey demography reveals limited risk effects of an actively hunting large carnivore,2013,Ecology Letters,1023,1030,21
"Pellissier, L., Ndiribe, C., Dubuis, A., Pradervand, J.-N., Salamin, N., Guisan, A., Rasmann, S.",Turnover of plant lineages shapes herbivore phylogenetic beta diversity along ecological gradients,2013,Ecology Letters,600,608,21
"Weddle, C.B., Steiger, S., Hamaker, C.G., Ower, G.D., Mitchell, C., Sakaluk, S.K., Hunt, J.",Cuticular hydrocarbons as a basis for chemosensory self-referencing in crickets: A potentially universal mechanism facilitating polyandry in insects,2013,Ecology Letters,346,353,21
"Wilken, S., Huisman, J., Naus-Wiezer, S., Van Donk, E.",Mixotrophic organisms become more heterotrophic with rising temperature,2013,Ecology Letters,225,233,21
"Cazelles, B.",Symbolic dynamics for identifying similarity between rhythms of ecological time series,2004,Ecology Letters,755,763,22
"Cesaro, A.C., Thompson, J.D.",Darwin's cross-promotion hypothesis and the evolution of stylar polymorphism,2004,Ecology Letters,1209,1215,22
"Anderson, K.E., Nisbet, R.M., Diehl, S., Cooper, S.D.",Scaling population responses to spatial environmental variability in advection-dominated systems,2005,Ecology Letters,933,943,22
"Pither, J., Aarssen, L.W.",Environmental specialists: Their prevalence and their influence on community-similarity analyses,2005,Ecology Letters,261,271,22
"Dennehy, J.J., Friedenberg, N.A., Yang, Y.W., Turner, P.E.",Virus population extinction via ecological traps,2007,Ecology Letters,230,240,22
"Hartley, I.P., Hopkins, D.W., Garnett, M.H., Sommerkorn, M., Wookey, P.A.",No evidence for compensatory thermal adaptation of soil microbial respiration in the study of Bradford et al. (2008),2009,Ecology Letters,,,22
"De Roode, J.C., Rarick, R.M., Mongue, A.J., Gerardo, N.M., Hunter, M.D.",Aphids indirectly increase virulence and transmission potential of a monarch butterfly parasite by reducing defensive chemistry of a shared food plant,2011,Ecology Letters,453,461,22
"Betancur R., R., Ortí, G., Stein, A.M., Marceniuk, A.P., Alexander Pyron, R.",Apparent signal of competition limiting diversification after ecological transitions from marine to freshwater habitats,2012,Ecology Letters,822,830,22
"Staver, A.C., Bond, W.J., Cramer, M.D., Wakeling, J.L.",Top-down determinants of niche structure and adaptation among African Acacias,2012,Ecology Letters,673,679,22
