Authors,Title,Year,Source title,Page start,Page end,Cited by
"Mouquet, N., Gravel, D., Massol, F., Calcagno, V.",Extending the concept of keystone species to communities and ecosystems,2013,Ecology Letters,1,8,15
"Runquist, R.B., Stanton, M.L.",Asymmetric and frequency-dependent pollinator-mediated interactions may influence competitive displacement in two vernal pool plants,2013,Ecology Letters,183,190,15
"Sedio, B.E., Ostling, A.M.",How specialised must natural enemies be to facilitate coexistence among plants?,2013,Ecology Letters,995,1003,15
"Moles, A.T., Warton, D.I., Stevens, R.D., Westoby, M.",Does a latitudinal gradient in seedling survival favour larger seeds in the tropics?,2004,Ecology Letters,911,914,16
"Morgan, A.D., Buckling, A.",Parasites mediate the relationship between host diversity and disturbance frequency,2004,Ecology Letters,1029,1034,16
"Tiwari, M., Bjorndal, K.A., Bolten, A.B., Bolker, B.M.","Intraspecific application of the mid-domain effect model: Spatial and temporal nest distributions of green turtles, Chelonia mydas, at Tortuguero, Costa Rica",2005,Ecology Letters,918,924,16
"Long, Z.T., Petchey, O.L., Holt, R.D.",The effects of immigration and environmental variability on the persistence of an inferior competitor,2007,Ecology Letters,574,585,16
"Oliver, M., Luque-Larena, J.J., Lambin, X.","Do rabbits eat voles? Apparent competition, habitat heterogeneity and large-scale coexistence under mink predation",2009,Ecology Letters,1201,1209,16
"Miller, M.J., Bermingham, E., Klicka, J., Escalante, P., Winker, K.",Neotropical birds show a humped distribution of within-population genetic diversity along a latitudinal transect,2010,Ecology Letters,576,586,16
"Speed, M.P., Ruxton, G.D., Blount, J.D., Stephens, P.A.",Diversification of honest signals in a predator-prey system,2010,Ecology Letters,744,753,16
"Childs, D.Z., Coulson, T.N., Pemberton, J.M., Clutton-Brock, T.H., Rees, M.",Predicting trait values and measuring selection in complex life histories: Reproductive allocation decisions in Soay sheep,2011,Ecology Letters,985,992,16
"Fox, J.W., Vasseur, D.A., Hausch, S., Roberts, J.","Phase locking, the Moran effect and distance decay of synchrony: Experimental tests in a model system",2011,Ecology Letters,163,168,16
"Houston, A.I., Higginson, A.D., McNamara, J.M.",Optimal foraging for multiple nutrients in an unpredictable environment,2011,Ecology Letters,1101,1107,16
"Firman, R.C., Simmons, L.W.",Male house mice evolving with post-copulatory sexual selection sire embryos with increased viability,2012,Ecology Letters,42,46,16
"Hice, L.A., Duffy, T.A., Munch, S.B., Conover, D.O.",Spatial scale and divergent patterns of variation in adapted traits in the ocean,2012,Ecology Letters,568,575,16
"Hoffmann, W.A., Geiger, E.L., Gotsch, S.G., Rossatto, D.R., Silva, L.C.R., Lau, O.L., Haridasan, M., Franco, A.C.","Ecological thresholds at the savanna-forest boundary: How plant traits, resources and fire govern the distribution of tropical biomes",2012,Ecology Letters,759,768,16
"Lee, W., van Baalen, M., Jansen, V.A.A.",An evolutionary mechanism for diversity in siderophore-producing bacteria,2012,Ecology Letters,119,125,16
"Wollrab, S., Diehl, S., De Roos, A.M.",Simple rules describe bottom-up and top-down control in food webs with alternative energy pathways,2012,Ecology Letters,935,946,16
"Gaillard, J.-M., Mark Hewison, A.J., Klein, F., Plard, F., Douhard, M., Davison, R., Bonenfant, C.",How does climate change influence demographic processes of widespread species? Lessons from the comparative analysis of contrasted populations of roe deer,2013,Ecology Letters,48,57,16
"Krimmel, B.A., Pearse, I.S.",Sticky plant traps insects to enhance indirect defence,2013,Ecology Letters,219,224,16
"Hurlbert, A.H.",Linking species-area and species-energy relationships in Drosophila microcosms,2006,Ecology Letters,284,291,17
"Nuismer, S.L., Otto, S.P., Blanquart, F.",When do host-parasite interactions drive the evolution of non-random mating?,2008,Ecology Letters,937,946,17
"Vogwill, T., Fenton, A., Brockhurst, M.A.",Dispersal and natural enemies interact to drive spatial synchrony and decrease stability in patchy populations,2009,Ecology Letters,1194,1200,17
"Cronin, J.P., Tonsor, S.J., Carson, W.P.",A simultaneous test of trophic interaction models: Which vegetation characteristic explains herbivore control over plant community mass?,2010,Ecology Letters,202,212,17
"Harris, N.C., Dunn, R.R.",Using host associations to predict spatial patterns in the species richness of the parasites of North American carnivores,2010,Ecology Letters,1411,1418,17
"Poelman, E.H., Gols, R., Snoeren, T.A.L., Muru, D., Smid, H.M., Dicke, M.",Indirect plant-mediated interactions among parasitoid larvae,2011,Ecology Letters,670,676,17
"Wimp, G.M., Murphy, S.M., Lewis, D., Ries, L.",Do edge responses cascade up or down a multi-trophic food web?,2011,Ecology Letters,863,870,17
"Hughes, N.K., Kelley, J.L., Banks, P.B.",Dangerous liaisons: The predation risks of receiving social signals,2012,Ecology Letters,1326,1339,17
"Johansson, J., Jonzén, N.",Game theory sheds new light on ecological responses to current climate change when phenology is historically mismatched,2012,Ecology Letters,881,888,17
"Rey, O., Estoup, A., Vonshak, M., Loiseau, A., Blanchet, S., Calcaterra, L., Chifflet, L., Rossi, J.-P., Kergoat, G.J., Foucaud, J., Orivel, J., Leponce, M., Schultz, T., Facon, B.",Where do adaptive shifts occur during invasion? A multidisciplinary approach to unravelling cold adaptation in a tropical ant species invading the Mediterranean area,2012,Ecology Letters,1266,1275,17
"Belshe, E.F., Schuur, E.A.G., Bolker, B.M.",Tundra ecosystems observed to be CO2 sources due to differential amplification of the carbon cycle,2013,Ecology Letters,1307,1315,17
